Source,Target,Type,Weight
-N5eucPMTTc,TNRrY8m71u4,Undirected,3
-N5eucPMTTc,MkR8GY2YBAU,Undirected,1
-N5eucPMTTc,xegUPsJaUKc,Undirected,3
-N5eucPMTTc,JqA6TZW9-0w,Undirected,31
-N5eucPMTTc,Kap77SLzVyI,Undirected,4
-N5eucPMTTc,JhfACxB_KWs,Undirected,1
-N5eucPMTTc,oxI2lyW31zM,Undirected,1
-N5eucPMTTc,03RQLmDNIEw,Undirected,4
-N5eucPMTTc,ggpoZyF2lU0,Undirected,1
-N5eucPMTTc,nVrkQyLS4oE,Undirected,4
